time_period,time_identifier,geographic_level,country_code,country_name,version,school_type,key_stage,overall_absence_percent,overall_absence_percent_groups,total_number_of_pupils_at_the_end_of_key_stage_4,number_of_pupils_who_achieved_grades_9_to_4_in_English_and_maths,number_of_pupils_who_achieved_grades_9_to_5_in_English_and_maths,number_of_pupils_who_achieved_all_components_of_the_English_Baccalaureate_grades_9_to_5,percentage_of_pupils_who_achieved_grades_9_to_4_in_English_and_maths,percentage_of_pupils_who_achieved_grades_9_to_5_in_English_and_maths,percentage_of_pupils_who_achieved_all_components_of_the_English_Baccalaureate_grades_9_to_5
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,63-<64,Total,82,3,1,0,3.7,1.2,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,64-<65,Total,73,10,2,0,13.7,2.7,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,65-<66,Total,74,8,5,0,10.8,6.8,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,66-<67,Total,76,11,5,0,14.5,6.6,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,67-<68,Total,54,7,2,1,13,3.7,1.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,68-<69,Total,54,10,5,0,18.5,9.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,69-<70,Total,66,8,3,0,12.1,4.5,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,70-<71,Total,63,9,4,0,14.3,6.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,71-<72,Total,55,8,3,0,14.5,5.5,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,72-<73,Total,52,7,1,0,13.5,1.9,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,73-<74,Total,42,3,1,0,7.1,2.4,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,74-<75,Total,54,2,1,0,3.7,1.9,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,75-<76,Total,35,2,2,0,5.7,5.7,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,76-<77,Total,47,2,0,0,4.3,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,77-<78,Total,47,2,1,0,4.3,2.1,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,78-<79,Total,46,6,4,0,13,8.7,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,79-<80,Total,37,3,1,0,8.1,2.7,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,80-<81,Total,39,3,2,0,7.7,5.1,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,81-<82,Total,43,2,1,0,4.7,2.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,82-<83,Total,26,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,83-<84,Total,27,1,0,0,3.7,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,84-<85,Total,26,1,1,0,3.8,3.8,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,85-<86,Total,28,1,0,0,3.6,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,86-<87,Total,27,2,1,0,7.4,3.7,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,87-<88,Total,20,1,0,0,5,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,88-<89,Total,18,2,1,0,11.1,5.6,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,89-<90,Total,23,1,1,0,4.3,4.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,90-<91,Total,21,1,0,0,4.8,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,91-<92,Total,19,2,1,0,10.5,5.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,92-<93,Total,10,1,0,0,10,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,93-<94,Total,19,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,94-<95,Total,26,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,95-<96,Total,19,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,96-<97,Total,23,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,97-<98,Total,18,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,98-<99,Total,20,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,99-100,Total,41,0,0,0,0,0,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,0,11143,9325,7402,3783,83.7,66.4,33.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,>0-<5,296189,226133,161218,68401,76.3,54.4,23.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,5-<10,117492,71796,42944,14578,61.1,36.6,12.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,10-<15,32566,14420,7141,1932,44.3,21.9,5.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,15-<20,12361,4162,1839,377,33.7,14.9,3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,20-<25,6035,1697,713,117,28.1,11.8,1.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,25-<30,3465,819,342,37,23.6,9.9,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,30-<35,2317,476,199,28,20.5,8.6,1.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,35-<40,1660,334,141,10,20.1,8.5,0.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,40-<45,1146,211,104,7,18.4,9.1,0.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,45-<50,860,122,44,4,14.2,5.1,0.5
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,50+,2931,332,147,8,11.3,5,0.3
